term,query,off_topic,covid
accountants,Certified Public Accountant,,
accountants,Business,,
accountants,Salary,,
accountants,tax accountants,,
accountants,accounting,,
accountants,accountant,,
accountants,accountants near me,,
accountants,what accountants do,,
accountants,what do accountants do,,
accountants,how much accountants make,,
accountants,business accountants,,
accountants,how much do accountants make,,
accountants,the accountants,,
accountants,cpa,,
actors,Voice actor,,
actors,Male,,
actors,African Americans,,
actors,Spider-Man,,
actors,Hallmark,,
actors,Joker ,,
actors,Celebrity,,
actors,Western,,
actors,Jumanji,,
actors,movie actors,,
actors,hollywood actors,,
actors,hot actors,,
actors,actors access,,
actors,gay actors,,
actors,child actors,,
actors,disney actors,,
actors,actor,,
actors,famous actors,,
actors,black actors,,
actors,male actors,,
artists,Art,,
artists,Tattoo,,
artists,Spotify,,
artists,Musician,,
artists,Tattoo artist,,
artists,famous,,
artists,Music,,
artists,artist,,
artists,art,,
artists,famous artists,,
artists,top artists,,
artists,tattoo artists,,
artists,best artists,,
bank managers,Bank,,
bank managers,Salary,,
bank managers,Money,,
bank managers,Organization,,
bank managers,Market,,
bank managers,Corporation,,
bank managers,Asset management,1,
bank managers,Account,,
bank managers,Service,,
bank managers,Credit,,
bank managers,Loan,,
bank managers,Strategy,,
bank managers,Career,,
bank managers,Cash,,
bank managers,Goal,,
bank managers,Investment management,1,
bank managers,Finance,,
bank managers,Investment,1,
bank managers,Asset,,
bank managers,U.S. Bancorp,,
bank managers,Chase Bank,,
bank managers,Customer,,
bank managers,JPMorgan Chase & Co,,
bank managers,Interest,,
bank managers,Wealth management,1,
bank managers,Company,,
bank managers,Rate,,
bank managers,Job,,
bank managers,Product,,
bank managers,Branch manager,,
bank managers,Business,,
bank managers,Property,,
bank managers,bank of america,,
bank managers,how much do bank tellers make,,
barbers,Hairstyle,,
barbers,The Barbers,1,
barbers,Barbers Hill Independent School District,1,
barbers,barbershop,,
barbers,black barbers,,
barbers,barbers shop near me,,
barbers,haircut,,
barbers,city barbers,,
barbers,barber shop near me,,
barbers,barber shops,,
barbers,are barbers open,,
barbers,barbers point,,
barbers,barbers cut,,
barbers,best barbers near me,,
barbers,barbers hill isd,1,
barbers,barbers clippers,,
barbers,barbers hill,,
barbers,barbers open,,
barbers,barber,,
barbers,haircuts,,
barbers,barbershop near me,,
barbers,hair barbers near me,,
barbers,black barbers near me,,
barbers,hair cut,,
barbers,barbers near me open,,
barbers,barbers near me,,
barbers,the barbers,,
barbers,barbers shop,,
barbers,the barbers shop,,
barbers,state street barbers,,
barbers,big league barbers,,
barbers,barbers den,,
barbers,barbers razor,,
barbers,barbers inc,,
bartenders,Bar,,
bartenders,Drink,,
bartenders,Bar Keepers Friend,,
bartenders,Gratuity,,
bartenders,License,,
bartenders,how much bartenders make,,
bartenders,how much do bartenders make,,
bartenders,bartenders near me,,
bartenders,jameson bartenders ball,,
bartenders,us bartenders guild,,
bartenders,help for bartenders,,
bartenders,bartenders needed,,
bartenders,bar rescue bartenders,,
bartenders,jameson bartenders ball 2019,,
bartenders,bar rescue,,
bartenders,how much money do bartenders make,,
bartenders,sexy bartenders,1,
bartenders,jameson bartenders ball 2017,,
bartenders,bartenders guild,,
bartenders,national bartenders school,,
bartenders,bartenders baltimore,,
bartenders,how much does bartenders make,,
bartenders,jameson bartenders ball 2016,,
beauticians,Hairdresser,,
beauticians,Beauticians,,
beauticians,Barber,,
beauticians,Wage,,
beauticians,Beauty,,
beauticians,Cosmetics,,
beauticians,African Americans,,
beauticians,how much do beauticians make,,
beauticians,black beauticians near me,,
blackjack dealers,Playing card,,
blackjack dealers,Playing card game,,
blackjack dealers,Cheating,,
blackjack dealers,Hand,,
blackjack dealers,Las Vegas,,
blackjack dealers,Clothing,,
blackjack dealers,Crossword,1,
blackjack dealers,Wage,,
blackjack dealers,Croupier,,
blackjack dealers,Online casino,,
blackjack dealers,Gratuity,,
blackjack dealers,Poker,,
blackjack dealers,Lotto,,
blackjack dealers,Table,,
blackjack dealers,Keno,,
blackjack dealers,Slot machine,,
blackjack dealers,Casino,,
blackjack dealers,Odds,,
blackjack dealers,railway inspectors attire crossword,1,
bus drivers,Driving,,
bus drivers,Bus driver,,
bus drivers,Job,,
bus drivers,Wage,,
bus drivers,License,,
bus drivers,Driver,,
bus drivers,Device driver,1,
bus drivers,Driver's license,,
bus drivers,Salary,,
bus drivers,school bus drivers jobs,,
bus drivers,how much does bus drivers make,,
bus drivers,how do bus drivers get paid,,
bus drivers,bus driver salary,,
bus drivers,school bus drivers,,
bus drivers,bus driver jobs,,
bus drivers,how much do bus drivers get paid,,
bus drivers,school bus drivers salary,,
bus drivers,school bus,,
bus drivers,bus driver,,
bus drivers,sm bus controller,1,
bus drivers,sm bus controller driver,1,
cafeteria workers,Lunch,,
cafeteria workers,Employee benefits,,
cafeteria workers,Day,,
cafeteria workers,Workers' Day,,
cafeteria workers,Salary,,
cafeteria workers,Student,,
cafeteria workers,Cafeteria plan,,
cafeteria workers,2020,,
cafeteria workers,Week,,
cafeteria workers,Head teacher,1,
cafeteria workers,Hospital,1,
cafeteria workers,Summer,,
cafeteria workers,Job,,
cafeteria workers,Wage,,
cafeteria workers,School,,
cafeteria workers,Food,,
cafeteria workers,Worker,,
cafeteria workers,Teacher,,
cafeteria workers,International Nurses Day,1,
cafeteria workers,Foodservice,,
cafeteria workers,School meal,,
cafeteria workers,Employee,,
cafeteria workers,Unemployment,,
cafeteria workers,U.S. County,,
cafeteria workers,Janitor,,
cafeteria workers,Tax,,
cafeteria workers,national cafeteria workers day 2020,,
cashiers,Cashier's check,1,
cashiers,Cashiers,,
cashiers,Cashier,,
cashiers,North Carolina,1,
cashiers,Wage,,
cashiers,Cash,,
cashiers,Highlands,1,
cashiers,Chase Bank,1,
cashiers,Bank of America,1,
cashiers,Fraud,1,
cashiers,Office,,
cashiers,cashiers nc,1,
cashiers,cashiers north carolina,1,
cashiers,how much do cashiers make,,
cashiers,cashiers weather,1,
cashiers,cashiers check near me,1,
cashiers,what do cashiers do,,
cashiers,how to get cashiers check,1,
cashiers,highlands nc,1,
cashiers,cashiers jobs,,
cashiers,cashiers nc weather,1,
cashiers,what is a cashiers check,1,
cashiers,chase cashiers check,1,
cashiers,how to get a cashiers check,1,
cashiers,wells fargo cashiers check,1,
cashiers,cashier,,
cashiers,cashiers check walmart,1,
cashiers,certified check,1,
cashiers,certified cashiers check,1,
cashiers,credit union,1,
cashiers,cashiers near me,,
cashiers,walmart cashiers,,
cashiers,what is cashiers check,1,
